#,Roll Call #,Date,Type,Bill,Amendment,Outcome,Title,Description,Bill summary (plain-language),Committee,Link
16,495,9/13/2017,On Agreeing to the Amendment,H.R. 3354,Scott of Virginia Amendment No. 113,"Failed, 192-223","Make America Secure and Prosperous Appropriations Act, 2018 - Reps. DeLauro, Frankel, Scott Amendment #113","This legislation would preserve funding for the Equal Employment Opportunity Commission’s revised Employer Information Report, a critical equal pay initiative. (ACLU Position: Supported)",Preserve Funding for An Equal Pay Initiative,,http://clerk.house.gov/evs/2017/roll495.xml
17,514,9/13/2017,On Agreeing to the Amendment,H.R. 3354,Ellison of Minnesota Amendment No. 186,"Failed, 191-226","Make America Secure and Prosperous Appropriations Act, 2018 - Reps. Ellison, Grijalva, Pocan Amendment #186",This legislation would ensure that the federal government does not contract with entities that willfully and repeatedly violate the Fair Labor Standards Act. (ACLU Position: Supported),Ensures Federal Government Does Not Contract Violators of the Fair Labor Standards Act,,http://clerk.house.gov/evs/2017/roll514.xml
18,517,9/14/2017,On Passage,H.R. 3697,,"Passed, 233-175",Criminal Alien Gang Removal Act,"This sweeping anti-immigrant legislation would give the federal government massive discretion to deport people based on an unacceptably low standard of what constitutes gang involvement, expand immigration authorities' powers to conduct dragnet sweeps of communities of color, and bar humanitarian relief for individuals in violation of international treaties. (ACLU Position: Opposed)","Grant the Federal Government Sweeping Discretion to Profile, Arrest and Deport Immigrants on Unsubstantiated Allegations of “Gang Involvement”",,http://clerk.house.gov/evs/2017/roll517.xml
19,518,9/14/2017,On Agreeing to the Amendment,H.R. 3354,Palmer of Alabama Amendment No. 192,"Passed, 214-194","Make America Secure and Prosperous Appropriations Act, 2018 - Rep. Palmer Amendment #192","This legislation would block Washington, D.C. from carrying out the Reproductive Health Non-Discrimination Act (RHNDA), a local law protecting employees from discrimination in the workplace based on their personal reproductive health care decisions. (ACLU Position: Opposed)",Enabling Discrimination Based on Reproductive Health Care Decisions,,http://clerk.house.gov/evs/2017/roll518.xml
20,549,10/3/2017,On Passage,H.R. 36,,"Passed, 237-189",Pain-Capable Unborn Child Protection Act,This bill is an extreme and unconstitutional nationwide pre-viability ban on abortion that interferes with a woman's most personal medical decisions and violates fundamental constitutional principles. (ACLU Position: Opposed),Banning Abortion at 20 Weeks Nationwide,,http://clerk.house.gov/evs/2017/roll549.xml
21,14,1/11/2018,On Agreeing to the Amendment,S. 139,Amash of Michigan Substitute Amendment No. 1,"Failed, 183-233","FISA Amendments Reauthorization Act - Substitute Amendment, the USA RIGHTS Act","This legislation, offered as a substitute amendment to S. 139, would reform Section 702 of the Foreign Intelligence Surveillance Act (FISA) to protect Americans' civil liberties while closing illegal surveillance loopholes and enabling the government to continue pursuing national security leads. (ACLU Position: Supported)",Protecting Americans from Illegal Government Surveillance,,http://clerk.house.gov/evs/2018/roll014.xml
22,16,1/11/2018,On Passage,S. 139,,"Passed, 256-164","FISA Amendments Reauthorization Act - Substitute Amendment, the USA RIGHTS Act
",This legislation would fail to meaningfully reform Section 702 of the Foreign Intelligence Surveillance Act (FISA) to protect Americans from illegal government spying and make current law more vulnerable to government abuses. (ACLU Position: Opposed),Failure to Protect Americans from Illegal Government Surveillance,,http://clerk.house.gov/evs/2018/roll016.xml
23,36,1/19/2018,On Passage,H.R. 4712,,"Passed, 241-183",Born-Alive Abortion Survivors Protection Act,"This legislation would interfere with the patient-provider relationship, target providers, and mislead the public about safe, legal abortion. (ACLU Position: Opposed)",Targeting Abortion Providers and Misinforming the Public,,http://clerk.house.gov/evs/2018/roll036.xml
24,80,2/15/2018,On Passage,H.R. 620,,"Passed, 225-192",ADA Education and Reform Act of 2017,This legislation would fundamentally alter and undermine the Americans with Disabilities Act (ADA) by creating more obstacles for people with disabilities before they can enforce their rights and shifting the burden away from businesses to comply with civil rights law to the person denied access. (ACLU Position: Opposed),Changing the ADA to Put More Burden on People with Disabilities,,http://clerk.house.gov/evs/2018/roll080.xml
25,91,2/27/2018,On Passage,H.R. 1865,,"Passed, 388-25","Allow States and Victims to Fight Online Sex Trafficking Act of 2017
 (FOSTA)","This legislation poses a risk to freedom of speech on the Internet as we have come to know it, while failing to successfully reconcile the goal to stop the use of the internet for sex trafficking and the goal to ensure a thriving internet by retaining certain liability protections for online platform providers. (ACLU Position: Opposed)",Attempt to Stop Online Sex Trafficking by Limiting Free Speech and Endangering Sex Workers,,http://clerk.house.gov/evs/2018/roll091.xml
26,127,3/22/2018,On Motion to Concur in the Senate Amendment with an Amendment,H.R. 1625,,"Passed, 256-167","Consolidated Appropriations Act, 2018","In this vote to pass a large government spending bill, the ACLU opposed the legislation because of the version of the ""Clarifying Lawful Overseas Use of Data Act (CLOUD Act)"" contained within. The CLOUD Act jeopardizes Americans’ privacy, threatens human rights, and grants the executive branch broad discretion with inadequate checks to prevent abuse. (ACLU Position: Opposed)
",Funding Data Collection Via the CLOUD Act,,http://clerk.house.gov/evs/2018/roll127.xml
27,175,5/9/2018,On Passage,H.R. 2152,,"Passed, 221-197","Citizens' Right to Know Act of 2018
","This legislation would establish the collection and public reporting of personally identifiable information of people participating in pretrial services programs—individuals who have not been convicted of a crime given their pretrial status. In addition to raising privacy concerns, the bill would undermine efforts to reform the money bail system. (ACLU Position: Opposed)","Requires Reporting of Personal Information of Pretrial Program Participants

",,http://clerk.house.gov/evs/2018/roll175.xml
28,188,5/16/2018,On Passage,H.R. 5698,,"Passed, 382-35",Protect and Serve Act,"This legislation would create a new crime for offenses that target law enforcement officers. The bill is unnecessary because police already have substantial protections under federal and state law. Moreover, it is divisive because it advances a false, dangerous narrative that there is a ""war on police"" - a narrative that appears to be a political response to the growing national movement for police accountability. (ACLU Position: Opposed)","Gives Law Enforcement Protected Class Status and Advances “Blue Lives Matter” Narrative

",,http://clerk.house.gov/evs/2018/roll188.xml
29,215,5/22/2018,"On Motion to Suspend the Rules and Pass, as Amended",H.R. 5682,,"Passed, 360-59",The First Step Act,"This legislation, would attempt to establish reforms to the criminal justice system for those currently incarcerated. However, the bill would not achieve meaningful reform to the federal system because it does not reforms to sentencing laws such as reducing mandatory minimum sentences, restoring judicial discretion, and mitigating disparate impacts on communities of color. (ACLU Position: Opposed)","Minimal changes to the federal prison system

",,http://clerk.house.gov/evs/2018/roll215.xml
30,393,9/7/2018,On Passage,H.R. 6691,,"Passed, 247-152",Community Safety and Security Act of 2018,"This legislation would expand the definition of ""crime of violence"" to include offenses that have no element of violence. The phrase ""crime of violence"" is referenced throughout U.S. law in various contexts, including immigration law. The expanded definition would further fuel mass incarceration, allowing for severe, costly, and punitive sentences to apply to low-level crimes, and could prevent people accused of misdemeanors from being released pre-trial. Importantly, it would also lead to generally non-violent offenses triggering nobond
detention and deportation for immigrants. (ACLU Position: Opposed)",,, http://clerk.house.gov/evs/2018/roll393.xml
,COMMITTEE VOTES,,,,,,,,,,
29,13,5/24/2017,Final Passage,H.R. 2431,,"Reported, 19-13","Michael Davis, Jr. and Danny Oliver in Honor of State and Local Law Enforcement Act (SAFE Act)","This legislation, considered by the House Judiciary Committee, would criminalize undocumented immigrants, eliminate due process protections, and undermine the federal government’s supremacy in regards to immigration enforcement. The bill would also force states and localities to divert resources toward immigration enforcement, lead to racial profiling, and promote unfair treatment of immigrants and citizens. (ACLU Position: Opposed)"," Criminalize Immigrants, Remove Due Process Protections, and Give State and Local Jurisdictions Unfettered Immigration Enforcement Power",Judiciary,https://judiciary.house.gov/wp-content/uploads/2017/05/RC-13.pdf
30,14,5/24/2017,Final Passage,H.R. 2407,,"Reported, 14-10",United States Citizenship and Immigration Services Authorization Act,"Considered in the House Judiciary Committee, this legislation to reauthorize U.S. Citizenship and Immigration Services (USCIS) contains problematic provisions, including the creation of new directorate positions without strong oversight and the permanent authorization of the ineffective and error-prone E-Verify system for checking work authorization. (ACLU Position: Opposed)","Expansion of USCIS With Serious Flaws
",Judiciary,https://judiciary.house.gov/wp-content/uploads/2017/05/RC-14.pdf
31,18,5/24/2017,Final Passage,H.R. 2406,,"Reported, 15-8",Immigration and Customs Enforcement Authorization Act of 2017,"This legislation, considered by the House Judiciary Committee, would authorize Immigration and Customs Enforcement (ICE) as the principal Department of Homeland Security agency charged with enforcing federal immigration laws and do so in a manner fraught with constitutional problems, including expanding ICE's warrantless authority and arming ICE officers with combat weapons. (ACLU Position: Opposed)",Authorization of ICE as Principal Immigration Enforcement Agency,Judiciary,https://judiciary.house.gov/wp-content/uploads/2017/05/RC-18.pdf
32,17,10/25/2017,Final Passage,H.R. 3711,,"Reported, 20-10",Legal Workforce Act,"This bill would force all employers to use the error-prone E-Verify program for checking work authorization, which would threaten privacy, harm many authorized workers due to the error rate, and impose unacceptable burdens on America’s workers and businesses. (ACLU Position: Opposed)",Violation of Workers’ Privacy,Judiciary,https://judiciary.house.gov/wp-content/uploads/2017/10/RC-17-H.R.-3711-Final-Passage.pdf
33,1,11/8/2017,On Agreeing to the Amendment,H.R. 3989,Poe Amendment #3,"Failed, 12-21",USA Liberty Act - Rep. Poe Amendment,"This amendment offered in the House Judiciary Committee would help close the ""backdoor search loophole"" for a key surveillance provision of the FISA Amendments Act, which allows the U.S. government to collect foreign intelligence information but sweeps in communications by U.S. persons. The loophole allows the government to search massive databases without a warrant for information about U.S. persons and persons inside the U.S. (ACLU Position: Supported)",Authorizing Certain Government Warrantless Searches,Judiciary,https://judiciary.house.gov/wp-content/uploads/2017/11/RC-1.pdf
34,3,12/1/2017,"On Motion to Favorably Report H.R. 4478, as amended",H.R. 4478,,"Reported, 13-8",FISA Amendments Reauthorization Act of 2017,"This legislation, considered in the House Permanent Select Committee on Intelligence,fails to meaningfully address the litany of surveillance abuses that have occurred under Section 702 of the Foreign Intelligence Surveillance Act, while at the same risking the codification of current illegal practices and expansion of surveillance under Section 702. (ACLU Position: Opposed)",Excusing and Expanding Surveillance Abuses,Intelligence,https://docs.house.gov/meetings/IG/IG00/20171201/106696/HMKP-115-IG00-20171201-SD001.pdf
35,2,3/7/2018,Final Passage,H.R. 2152,,"Reported, 14-10",Citizens' Right to Know Act of 2018,"This legislation, considered in the House Judiciary Committee, would establish the collection and public reporting of personally identifiable information of people participating in pretrial services programs—individuals who have not been convicted of a crime given their pretrial status. In addition to raising privacy concerns, the bill would undermine efforts to reform the money bail system. (ACLU Position: Opposed)",Privacy Violation of People Participating in Pretrial Programs,Judiciary,https://judiciary.house.gov/wp-content/uploads/2018/03/RC-2.pdf
36,2,7/11/18,Adoption,H.R. 6470,Aderholt Amendment,"Adopted, 29-23","Departments of Labor, Health and Human Services, and Education, and Related Agencies Appropriations Act, 2019
","This legislation, considered as an amendment in the House Appropriations Committee, would harm children in the child welfare system and authorize taxpayer-funded discrimination. In violation of state and federal nondiscrimination policies, the amendment would allow child welfare providers receiving taxpayer dollars to decide which families and children to serve, and would place the religious and moral beliefs of certain child welfare service providers above the best interests of children who are in state care because of abuse and neglect at home. It would empower providers to use a religious litmus test to turn away prospective parents simply because of who they are, something that would significantly impact LGBTQ people and non-Christians. The amendment would affect a wide variety of child welfare services, including family preservation services; foster care, counseling and other services for children; and adoption services. (ACLU Position: Opposed)
",Enabling Taxpayer-Funded Discrimination in the Child Welfare System,Appropriations,https://docs.house.gov/meetings/AP/AP00/20180711/108538/HMKP-115-AP00-20180711-SD008.pdf
