#,Roll Call #,Date,Type,Bill,Amendment,Title,Description,Committee,Link
10,268,5/19/2017,On Passage,H.R. 1039,,"Probation Officer Protection Act of 2017
","This legislation would give federal probation officers the authority to arrest third parties without a warrant, despite the lack of evidence that current law isn't enough. H.R. 1039 would also create safety concerns for both probation officers and the community and risks violating people's Fourth Amendment rights. (ACLU Position: Opposed)",,http://clerk.house.gov/evs/2017/roll268.xml
11,342,6/29/2017,On Passage,H.R. 3003,,No Sanctuary for Criminals Act,This legislation would force state and local law enforcement agencies to violate the Fourth Amendment by requiring them to imprison people without due process or probable cause at the request of federal immigration agents. (ACLU Position: Opposed),,http://clerk.house.gov/evs/2017/roll342.xml
12,344,6/29/2017,On Passage,H.R. 3004,,Kate's Law,"This legislation would increase already strict penalties for undocumented immigrants who reenter the United States, while ignoring any humanitarian considerations. The bill also limits immigrants’ ability to challenge prior removal orders in court regardless of whether they were lawfully obtained, in violation of due process. (ACLU Position: Opposed)",,http://clerk.house.gov/evs/2017/roll344.xml
13,369,7/13/2017,On Agreeing to the Amendment,H.R. 2810,Hartzler of Missouri Amendment No. 10,National Defense Authorization Act for Fiscal Year 2018 - Rep. Hartzler Amendment #315,"In a discriminatory, unconstitutional attack on transgender service members and their families, this amendmentwould bar transgender members of the Armed Forces and military dependents from receiving appropriate and medically necessary health care. (ACLU Position: Opposed)",,http://clerk.house.gov/evs/2017/roll369.xml
14,372,7/14/2017,On Agreeing to the Amendment,H.R. 2810,Franks of Arizona Amendment No. 13,National Defense Authorization Act for Fiscal Year 2018 - Rep. Franks' Amendment #68,"This legislation would violate the Constitution by requiringthe federal government, in violation of the Constitution, to single out Muslims and Islam under the cover of conducting “strategic assessments” of religious doctrine, singling out Muslims and Islam and casting suspicion on an entire religion, chilling freedoms of speech, association, and religion. (ACLU Position: Opposed)",,http://clerk.house.gov/evs/2017/roll372.xml
15,442,9/6/2017,On Ordering the Previous Question,H. Res 500,,"Providing for consideration of the bill (H.R. 3354) making appropriations for the Department of the Interior, environment, and related agencies for the fiscal year ending September 30, 2018, and for other purposes; providing for consideration of motions to suspend the rules; and waiving a requirement of clause 6(a) of rule XIII with respect to consideration of certain resolutions reported from the Committee on Rules.
","The House voted on whether to allow a vote on the Dream Act in a procedural move, where a vote 'yes' meant voting to reject the Dream Act, and a vote 'no' meant voting to support the Dream Act. The Dream Act would grant undocumented immigrant youth who came to the U.S. as children access to work permits, protect them from deportation, and provide them with a pathway to citizenship. (ACLU Position: Opposed)",,http://clerk.house.gov/evs/2017/roll442.xml
16,495,9/13/2017,On Agreeing to the Amendment,H.R. 3354,Scott of Virginia Amendment No. 113,"Make America Secure and Prosperous Appropriations Act, 2018 - Reps. DeLauro, Frankel, Scott Amendment #113","This legislation would preserve funding for the Equal Employment Opportunity Commission’s revised Employer Information Report, a critical equal pay initiative. (ACLU Position: Supported)",,http://clerk.house.gov/evs/2017/roll495.xml
17,514,9/13/2017,On Agreeing to the Amendment,H.R. 3354,Ellison of Minnesota Amendment No. 186,"Make America Secure and Prosperous Appropriations Act, 2018 - Reps. Ellison, Grijalva, Pocan Amendment #186",This legislation would ensure that the federal government does not contract with entities that willfully and repeatedly violate the Fair Labor Standards Act. (ACLU Position: Supported),,http://clerk.house.gov/evs/2017/roll514.xml
18,517,9/14/2017,On Passage,H.R. 3697,,Criminal Alien Gang Removal Act,"This sweeping anti-immigrant legislation would give the federal government massive discretion to deport people based on an unacceptably low standard of what constitutes gang involvement, expand immigration authorities' powers to conduct dragnet sweeps of communities of color, and bar humanitarian relief for individuals in violation of international treaties. (ACLU Position: Opposed)",,http://clerk.house.gov/evs/2017/roll517.xml
19,518,9/14/2017,On Agreeing to the Amendment,H.R. 3354,Palmer of Alabama Amendment No. 192,"Make America Secure and Prosperous Appropriations Act, 2018 - Rep. Palmer Amendment #192","This legislation would block Washington, D.C. from carrying out the Reproductive Health Non-Discrimination Act (RHNDA), a local law protecting employees from discrimination in the workplace based on their personal reproductive health care decisions. (ACLU Position: Opposed)",,http://clerk.house.gov/evs/2017/roll518.xml
20,549,10/3/2017,On Passage,H.R. 36,,Pain-Capable Unborn Child Protection Act,This bill is an extreme and unconstitutional nationwide pre-viability ban on abortion that interferes with a woman's most personal medical decisions and violates fundamental constitutional principles. (ACLU Position: Opposed),,http://clerk.house.gov/evs/2017/roll549.xml
21,14,1/11/2018,On Agreeing to the Amendment,S. 139,Amash of Michigan Substitute Amendment No. 1,"FISA Amendments Reauthorization Act - Substitute Amendment, the USA RIGHTS Act","This legislation, offered as a substitute amendment to S. 139, would reform Section 702 of the Foreign Intelligence Surveillance Act (FISA) to protect Americans' civil liberties while closing illegal surveillance loopholes and enabling the government to continue pursuing national security leads. (ACLU Position: Supported)",,http://clerk.house.gov/evs/2018/roll014.xml
22,16,1/11/2018,On Passage,S. 139,,"FISA Amendments Reauthorization Act - Substitute Amendment, the USA RIGHTS Act
",This legislation would fail to meaningfully reform Section 702 of the Foreign Intelligence Surveillance Act (FISA) to protect Americans from illegal government spying and make current law more vulnerable to government abuses. (ACLU Position: Opposed),,http://clerk.house.gov/evs/2018/roll016.xml
23,36,1/19/2018,On Passage,H.R. 4712,,Born-Alive Abortion Survivors Protection Act,"This legislation would interfere with the patient-provider relationship, target providers, and mislead the public about safe, legal abortion. (ACLU Position: Opposed)",,http://clerk.house.gov/evs/2018/roll036.xml
24,80,2/15/2018,On Passage,H.R. 620,,ADA Education and Reform Act of 2017,This legislation would fundamentally alter and undermine the Americans with Disabilities Act (ADA) by creating more obstacles for people with disabilities before they can enforce their rights and shifting the burden away from businesses to comply with civil rights law to the person denied access. (ACLU Position: Opposed),,http://clerk.house.gov/evs/2018/roll080.xml
25,91,2/27/2018,On Passage,H.R. 1865,,"Allow States and Victims to Fight Online Sex Trafficking Act of 2017
 (FOSTA)","This legislation poses a risk to freedom of speech on the Internet as we have come to know it, while failing to successfully reconcile the goal to stop the use of the internet for sex trafficking and the goal to ensure a thriving internet by retaining certain liability protections for online platform providers. (ACLU Position: Opposed)",,http://clerk.house.gov/evs/2018/roll091.xml
26,127,3/22/2018,On Motion to Concur in the Senate Amendment with an Amendment,H.R. 1625,,"Consolidated Appropriations Act, 2018","In this vote to pass a large government spending bill, the ACLU opposed the legislation because of the version of the ""Clarifying Lawful Overseas Use of Data Act (CLOUD Act)"" contained within. The CLOUD Act jeopardizes Americans’ privacy, threatens human rights, and grants the executive branch broad discretion with inadequate checks to prevent abuse. (ACLU Position: Opposed)
",,http://clerk.house.gov/evs/2018/roll127.xml
27,175,5/9/2018,On Passage,H.R. 2152,,"Citizens' Right to Know Act of 2018
","This legislation would establish the collection and public reporting of personally identifiable information of people participating in pretrial services programs—individuals who have not been convicted of a crime given their pretrial status. In addition to raising privacy concerns, the bill would undermine efforts to reform the money bail system. (ACLU Position: Opposed)",,http://clerk.house.gov/evs/2018/roll175.xml
28,188,5/16/2018,On Passage,H.R. 5698,,Protect and Serve Act,"This legislation would create a new crime for offenses that target law enforcement officers. The bill is unnecessary in that police already have substantial protections under federal and state law. Moreover, it is divisive because it advances a false, dangerous narrative that there is a ""war on police"" - a narrative that appears to be a political response to the growing national movement for police accountability. (ACLU Position: Opposed)",,http://clerk.house.gov/evs/2018/roll188.xml
,,,,,,,,,
,COMMITTEE VOTES,,,,,,,,
29,13,5/24/2017,Final Passage,H.R. 2431,,"Michael Davis, Jr. and Danny Oliver in Honor of State and Local Law Enforcement Act (SAFE Act)","This legislation, considered by the House Judiciary Committee, would criminalize undocumented immigrants, eliminate due process protections, and undermine the federal government’s supremacy in regards to immigration enforcement. The bill would also force states and localities to divert resources toward immigration enforcement, lead to racial profiling, and promote unfair treatment of immigrants and citizens. (ACLU Position: Opposed)",Judiciary,https://judiciary.house.gov/wp-content/uploads/2017/05/RC-13.pdf
30,14,5/24/2017,Final Passage,H.R. 2407,,United States Citizenship and Immigration Services Authorization Act,"Considered in the House Judiciary Committee, this legislation to reauthorize U.S. Citizenship and Immigration Services (USCIS) contains problematic provisions, including the creation of new directorate positions without strong oversight and the permanent authorization of the ineffective and error-prone E-Verify system for checking work authorization. (ACLU Position: Opposed)",Judiciary,https://judiciary.house.gov/wp-content/uploads/2017/05/RC-14.pdf
31,18,5/24/2017,Final Passage,H.R. 2406,,Immigration and Customs Enforcement Authorization Act of 2017,"This legislation, considered by the House Judiciary Committee, would authorize Immigration and Customs Enforcement (ICE) as the principal Department of Homeland Security agency charged with enforcing federal immigration laws and do so in a manner fraught with constitutional problems, including expanding ICE's warrantless authority and arming ICE officers with combat weapons. (ACLU Position: Opposed)",Judiciary,https://judiciary.house.gov/wp-content/uploads/2017/05/RC-18.pdf
32,17,10/25/2017,Final Passage,H.R. 3711,,Legal Workforce Act,"This bill would force all employers to use the error-prone E-Verify program for checking work authorization, which would threaten privacy, harm many authorized workers due to the error rate, and impose unacceptable burdens on America’s workers and businesses. (ACLU Position: Opposed)",Judiciary,https://judiciary.house.gov/wp-content/uploads/2017/10/RC-17-H.R.-3711-Final-Passage.pdf
33,1,11/8/2017,On Agreeing to the Amendment,H.R. 3989,Poe Amendment #3,USA Liberty Act - Rep. Poe Amendment,"This amendment offered in the House Judiciary Committee would help close the ""backdoor search loophole"" for a key surveillance provision of the FISA Amendments Act, which allows the U.S. government to collect foreign intelligence information but sweeps in communications by U.S. persons. The loophole allows the government to search massive databases without a warrant for information about U.S. persons and persons inside the U.S. (ACLU Position: Supported)",Judiciary,https://judiciary.house.gov/wp-content/uploads/2017/11/RC-1.pdf
34,3,12/1/2017,"On Motion to Favorably Report H.R. 4478, as amended",H.R. 4478,,FISA Amendments Reauthorization Act of 2017,"This legislation, considered in the House Permanent Select Committee on Intelligence,fails to meaningfully address the litany of surveillance abuses that have occurred under Section 702 of the Foreign Intelligence Surveillance Act, while at the same risking the codification of current illegal practices and expansion of surveillance under Section 702. (ACLU Position: Opposed)",Intelligence,https://docs.house.gov/meetings/IG/IG00/20171201/106696/HMKP-115-IG00-20171201-SD001.pdf
35,2,3/7/2018,Final Passage,H.R. 2152,,Citizens' Right to Know Act of 2018,"This legislation, considered in the House Judiciary Committee, would establish the collection and public reporting of personally identifiable information of people participating in pretrial services programs—individuals who have not been convicted of a crime given their pretrial status. In addition to raising privacy concerns, the bill would undermine efforts to reform the money bail system. (ACLU Position: Opposed)",Judiciary,https://judiciary.house.gov/wp-content/uploads/2018/03/RC-2.pdf
36,2,5/9/2018,Final Passage,H.R. 5682,,The First Step Act,"This legislation, considered in the House Judiciary Committee, would attempt to establish ""back-end"" reform to the criminal justice system, for those currently incarcerated, in an attempt to reduce recidivism. However, the bill would be unlikely to achieve meaningful reform, and additionally does not include any ""front-end"" reform - changes to sentencing laws that eliminate mandatory minimums, restore judicial discretion, reduce the national prison population, and mitigate disparate impacts on communities of color. (ACLU Position: Opposed)",Judiciary,https://judiciary.house.gov/wp-content/uploads/2018/05/RC-2-HR-5682-Final-Passage.pdf
